feed_temperature_K,feed_pressure_kPa,feed_composition_benzene,n_stages,feed_stage,reflux_ratio,bottoms_rate_kmol_h,feed_vapor_fraction_q,column_pressure_kPa,relative_volatility,R_over_Rmin,N_over_Nmin,feed_stage_fraction,distillate_rate_kmol_h,bubble_point_T_K,dew_point_T_K,xD_benzene,xB_benzene,QC_kW,QR_kW
374.737,121.59,0.3,20,17,2.6429,54.0,0.80474,121.59,6.57498,1.5369,2.52211,0.85,46.0,352.999,380.011,0.75373,1e-06,1598.8832,1691.7576
336.842,101.325,0.5857,10,7,3.5,70.0,0.28973,101.325,9.85967,4.79763,11.76614,0.7,30.0,327.162,360.573,0.749819,0.3,1176.2164,1216.9833
368.978,202.65,0.3677,19,11,3.2052,33.15,0.03596,202.65,6.96628,4.20217,2.45121,0.57895,66.85,367.969,396.02,0.773874,1e-06,3457.4174,3664.2291
363.238,101.325,0.4231,16,12,1.5656,32.766,0.82985,101.325,7.33215,1.75642,2.17143,0.75,67.234,336.734,368.672,0.703566,1e-06,1508.3083,1589.7433
341.053,121.59,0.4714,15,12,2.0714,54.0,0.02412,121.59,9.37041,2.95965,16.26407,0.8,46.0,340.274,372.546,0.727558,0.25324463,1350.7761,1400.119
320.0,202.65,0.3,10,5,2.3571,62.0,-0.2,202.65,12.45495,5.0952,6.16938,0.5,38.0,373.664,398.991,0.721528,0.04164394,1575.2053,1658.085
378.947,202.65,0.4714,25,15,3.5,30.0,0.60608,202.65,6.3562,3.86561,3.03947,0.6,70.0,360.419,390.99,0.801589,1e-06,3865.8057,4105.7024
382.932,202.65,0.354,20,14,1.9834,37.439,0.50299,202.65,6.13957,2.18554,2.45336,0.7,62.561,369.063,396.636,0.726816,1e-06,2303.8486,2432.7024
328.088,121.59,0.4223,25,21,3.1855,44.207,-0.07971,121.59,11.06579,4.14999,3.97327,0.84,55.793,343.516,374.846,0.787456,1e-06,2222.2797,2357.7858
349.474,101.325,0.4714,15,4,2.0714,30.0,0.48302,101.325,8.48544,4.21505,2.16757,0.26667,70.0,333.603,366.46,0.727558,1e-06,1876.4516,1981.5149
387.368,202.65,0.3571,20,5,2.3571,38.0,0.67033,202.65,5.91432,1.97134,2.38825,0.25,62.0,368.81,396.496,0.744374,1e-06,2565.7451,2712.8905
358.045,121.59,0.5479,12,5,1.6865,50.858,0.67809,121.59,7.74014,3.29016,14.16542,0.41667,49.142,335.734,368.637,0.708124,0.3,1264.1367,1303.6774
373.002,121.59,0.4974,14,11,1.5849,57.754,1.00636,121.59,6.6807,1.72532,15.50229,0.78571,42.246,338.667,371.267,0.704303,0.3,1045.9485,1078.2496
378.947,202.65,0.4714,20,7,2.3571,54.0,0.60608,202.65,6.3562,3.02858,16.33222,0.35,46.0,360.419,390.99,0.748111,0.23573624,1903.0775,1978.1525
324.211,152.0,0.3,25,5,3.2143,54.0,-0.19399,152.0,11.69381,5.39202,4.07497,0.2,46.0,361.758,388.037,0.780887,1e-06,2063.6659,2188.5599
378.947,121.59,0.3571,10,5,2.9286,46.0,1.00462,121.59,6.3309,1.76193,1.24448,0.5,54.0,348.29,377.689,0.733704,1e-06,2027.2945,2141.7243
336.842,101.325,0.3,10,6,1.5,30.0,-0.04801,101.325,9.85967,3.78496,1.56072,0.6,70.0,346.135,373.743,0.7,1e-06,1530.5574,1612.9566
395.789,101.325,0.4143,30,5,2.0714,38.0,1.09801,101.325,5.50023,1.29238,3.44321,0.16667,62.0,337.332,369.059,0.738463,1e-06,1660.6613,1754.8648
327.246,121.59,0.6368,22,13,3.3553,57.59,-0.0199,121.59,11.19376,2.11297,23.68208,0.59091,42.41,331.097,363.442,0.801628,0.3,1755.8354,1824.0882
349.474,202.65,0.6429,15,8,1.5,30.0,-0.00438,202.65,8.52787,1.09267,18.97211,0.53333,70.0,350.321,380.908,0.7,0.3,2164.5505,2231.1038
378.947,121.59,0.4143,20,7,2.0714,30.0,1.01371,121.59,6.3309,1.52909,2.48995,0.35,70.0,344.074,375.209,0.732553,1e-06,2054.7857,2170.5511
376.464,202.65,0.4347,26,22,2.3899,60.061,0.45224,202.65,6.49864,3.20332,20.4649,0.84615,39.939,362.942,392.842,0.754676,0.22199333,1667.5959,1736.0502
329.4,121.59,0.5848,19,5,2.405,60.183,-0.0224,121.59,10.87127,2.06815,23.13397,0.26316,39.817,333.735,366.579,0.752582,0.3,1293.7029,1338.9141
341.053,152.0,0.6429,30,10,3.2143,70.0,0.0632,152.0,9.38445,2.06804,29.36225,0.33333,30.0,339.059,370.598,0.808515,0.3,1343.0351,1395.9542
356.084,121.59,0.6976,13,5,1.5357,43.112,0.89494,121.59,7.90183,3.21372,15.7722,0.38462,56.888,328.256,359.351,0.701923,0.3,1381.8908,1424.4141
349.474,101.325,0.3571,10,7,2.9286,62.0,0.26641,101.325,8.48544,5.77038,7.25568,0.7,38.0,341.482,371.478,0.733704,0.12634762,1302.2975,1363.2029
389.131,202.65,0.4043,12,5,1.8558,63.07,0.8222,202.65,5.82916,1.63813,9.79269,0.41667,36.93,365.155,394.316,0.713599,0.22316768,1303.1533,1352.1347
395.642,121.59,0.5919,23,20,2.5197,67.184,1.10808,121.59,5.51207,2.35444,19.38757,0.86957,32.816,333.36,366.165,0.764532,0.3,1101.2044,1140.3325
361.637,101.325,0.5011,24,19,2.0593,35.459,0.89797,101.325,7.45152,2.51414,13.41814,0.79167,64.541,331.808,365.026,0.737106,0.07166955,1722.0249,1810.1811
353.684,121.59,0.3571,10,7,2.6429,30.0,0.18348,121.59,8.10806,5.10589,1.41389,0.7,70.0,348.29,377.689,0.72841,1e-06,2437.7986,2574.5443
377.849,121.59,0.3782,24,19,3.1996,40.269,1.00387,121.59,6.39291,1.88486,2.94793,0.79167,59.731,346.684,376.794,0.783836,1e-06,2387.8805,2532.478
351.399,152.0,0.6018,14,11,2.1244,34.607,0.31952,152.0,8.32602,2.72242,16.08835,0.78571,65.393,341.168,373.186,0.730464,0.3,2183.547,2255.8891
325.346,101.325,0.4764,22,6,2.3687,32.07,-0.04108,101.325,11.48033,3.07158,3.59846,0.27273,67.93,333.298,366.225,0.751359,1e-06,1993.5119,2109.1367
370.526,202.65,0.5286,15,4,2.3571,38.0,0.44171,202.65,6.86451,3.46783,11.33689,0.26667,62.0,356.766,387.919,0.740667,0.18252086,2566.4699,2676.8038
336.842,121.59,0.4714,20,3,2.9286,54.0,-0.01773,121.59,9.86953,3.5257,18.21369,0.15,46.0,340.274,372.546,0.772148,0.21525992,1721.7968,1795.9256
395.789,121.59,0.5286,15,12,2.0714,54.0,1.09578,121.59,5.50573,1.85434,13.94401,0.8,46.0,336.828,369.667,0.728628,0.3,1350.7471,1394.9802
349.474,202.65,0.3571,20,10,2.0714,38.0,-0.0999,202.65,8.52787,3.30395,2.8932,0.5,62.0,368.81,396.496,0.731237,1e-06,2349.6957,2482.2274
395.789,121.59,0.5286,30,16,2.3571,30.0,1.09578,121.59,5.50573,1.95536,3.42001,0.53333,70.0,336.828,369.667,0.759053,1e-06,2241.3722,2372.3646
367.437,121.59,0.5972,23,20,3.0338,49.106,1.00579,121.59,7.04221,3.49674,20.74545,0.86957,50.894,333.089,365.859,0.788641,0.3,1953.5458,2027.2054
338.237,152.0,0.3948,26,5,3.1128,65.453,-0.08197,152.0,9.71369,4.16725,21.52305,0.19231,34.547,354.102,383.974,0.784375,0.18921826,1512.1275,1581.8589
349.474,202.65,0.3571,30,5,2.9286,70.0,-0.0999,202.65,8.52787,3.99864,22.98181,0.16667,30.0,368.81,396.496,0.778626,0.17650719,1448.9148,1516.5309
341.053,121.59,0.3571,20,13,1.7857,54.0,-0.03739,121.59,9.37041,3.49142,11.62219,0.65,46.0,348.29,377.689,0.71651,0.05101509,1226.1538,1288.9957
353.684,101.325,0.7,30,10,3.5,38.0,1.00114,101.325,8.09996,4.78537,26.20155,0.33333,62.0,321.771,353.373,0.824598,0.3,2416.8378,2515.0476
365.396,152.0,0.3124,11,5,1.7618,64.414,0.17561,152.0,7.19467,3.12416,6.86894,0.45455,35.586,360.681,387.531,0.708538,0.0934827,1052.1474,1101.8854
378.947,121.59,0.3571,30,8,3.5,70.0,1.00462,121.59,6.3309,1.84137,18.54159,0.26667,30.0,348.29,377.689,0.799469,0.16757446,1283.5744,1346.2041
370.526,152.0,0.3,25,4,2.3571,46.0,0.33367,152.0,6.84744,2.84816,3.22802,0.16,54.0,361.758,388.037,0.747309,1e-06,1934.9205,2046.4027
357.895,101.325,0.4714,25,21,1.7857,70.0,0.73931,101.325,7.74456,2.65415,28.5672,0.84,30.0,333.603,366.46,0.719924,0.3,729.8371,753.2918
327.745,152.0,0.6671,30,5,1.5437,51.356,-0.0523,152.0,11.13438,1.00812,42.2083,0.16667,48.644,337.867,368.968,0.703842,0.3,1325.0485,1366.2589
395.789,101.325,0.3,15,5,2.0714,62.0,1.08084,101.325,5.50023,0.87865,6.1673,0.33333,38.0,346.135,373.743,0.724347,0.03991639,1018.95,1072.3711
357.895,202.65,0.4714,20,5,1.5,38.0,-0.01304,202.65,7.78328,1.99681,13.40573,0.25,62.0,360.419,390.99,0.7,0.09849624,1917.1701,2005.8236
374.737,202.65,0.3,30,21,3.5,54.0,0.04235,202.65,6.60125,4.32713,3.73159,0.7,46.0,373.664,398.991,0.795281,1e-06,2541.6077,2698.1006
397.086,202.65,0.667,17,13,2.4506,66.894,1.06543,202.65,5.47252,2.7009,14.71058,0.76471,33.106,349.088,379.241,0.753426,0.3,1407.2419,1456.1037
328.421,121.59,0.5286,20,3,2.6429,30.0,-0.04344,121.59,11.01593,2.68146,3.20218,0.15,70.0,336.828,369.667,0.763177,1e-06,2431.2504,2574.6093
353.684,101.325,0.7,25,3,2.9286,54.0,1.00114,101.325,8.09996,4.40665,23.89014,0.12,46.0,321.771,353.373,0.792776,0.3,1569.318,1629.0019
341.053,152.0,0.3571,20,9,2.9286,54.0,-0.08231,152.0,9.38445,4.50377,7.5126,0.45,46.0,356.984,385.64,0.766545,0.00839328,1925.9205,2038.8337
328.421,101.325,0.5286,20,3,1.5,46.0,-0.00935,101.325,11.00492,1.92908,28.30574,0.15,54.0,330.231,363.646,0.7,0.3,1180.7227,1217.0328
341.053,152.0,0.3571,30,6,1.7857,30.0,-0.08231,152.0,9.38445,3.25275,4.55168,0.2,70.0,356.984,385.64,0.719508,1e-06,2085.7209,2201.3471
378.947,202.65,0.4143,20,13,3.2143,46.0,0.49391,202.65,6.3562,3.71005,2.45352,0.65,54.0,364.416,393.838,0.779063,1e-06,2797.723,2966.1535
353.684,121.59,0.5286,10,3,2.0714,70.0,0.5133,121.59,8.10806,4.15329,11.75122,0.3,30.0,336.828,369.667,0.71782,0.3,881.6248,909.8715
400.0,152.0,0.5857,15,9,3.5,46.0,1.09477,152.0,5.33901,3.06514,11.88997,0.6,54.0,342.031,374.153,0.780036,0.3,2587.1423,2682.7859
374.737,202.65,0.4714,20,3,2.9286,70.0,0.46835,202.65,6.60125,3.86305,18.25395,0.15,30.0,360.419,390.99,0.772148,0.3,1449.702,1502.4895
340.594,152.0,0.5762,13,5,1.8072,35.684,-0.01012,152.0,9.43679,1.72492,16.53362,0.38462,64.316,342.553,374.713,0.714551,0.3,1931.8655,1993.5014
325.066,121.59,0.6529,28,5,3.3738,33.211,-0.02716,121.59,11.53682,1.93403,29.49323,0.17857,66.789,330.324,362.412,0.813729,0.3,2774.3179,2884.8603
335.009,121.59,0.6394,24,13,2.0702,34.561,0.12488,121.59,10.10132,1.75894,29.2177,0.54167,65.439,330.974,363.282,0.74123,0.3,1918.8441,1984.0992
378.947,202.65,0.4143,10,7,2.9286,46.0,0.49391,202.65,6.3562,3.84777,4.33957,0.7,54.0,364.416,393.838,0.735123,0.03765111,2616.9103,2757.4592
381.993,202.65,0.3648,26,14,1.6768,69.991,0.49351,202.65,6.18937,2.03797,21.60364,0.53846,30.009,368.198,396.15,0.711857,0.21596128,992.7018,1030.4624
324.211,121.59,0.6429,20,13,2.6429,38.0,-0.03407,121.59,11.67631,1.72545,24.04899,0.65,62.0,330.804,363.059,0.767901,0.3,2152.6088,2230.4692
336.842,101.325,0.7,15,11,1.7857,62.0,0.47691,101.325,9.85967,2.28713,19.32727,0.73333,38.0,321.771,353.373,0.716828,0.3,924.6603,954.2373
374.737,121.59,0.4143,15,8,3.5,70.0,0.98484,121.59,6.57498,2.48454,12.52367,0.53333,30.0,344.074,375.209,0.771383,0.26124384,1286.3665,1336.8923
332.632,121.59,0.3,15,8,3.2143,62.0,-0.10523,121.59,10.41601,6.11718,6.87336,0.53333,38.0,352.999,380.011,0.759133,0.01859598,1527.3081,1614.7618
336.842,121.59,0.6429,20,4,1.5,30.0,0.18719,121.59,9.86953,1.53629,27.02059,0.2,70.0,330.804,363.059,0.7,0.3,1676.6634,1728.1731
332.632,101.325,0.4143,15,8,1.5,62.0,-0.02429,101.325,10.40561,2.86912,17.52786,0.53333,38.0,337.332,369.059,0.7,0.2391705,830.8745,860.3299
374.737,121.59,0.3,15,10,1.7857,46.0,0.80474,121.59,6.57498,1.13583,1.91846,0.66667,54.0,352.999,380.011,0.712868,1e-06,1439.8441,1518.6772
374.737,202.65,0.4714,25,7,2.6429,70.0,0.46835,202.65,6.60125,3.5335,23.09869,0.28,30.0,360.419,390.99,0.767688,0.3,1344.7344,1393.2112
324.211,121.59,0.5286,30,11,2.3571,46.0,-0.06519,121.59,11.67631,2.38682,33.45354,0.36667,54.0,336.828,369.667,0.759053,0.25800577,1728.9763,1795.9413
354.254,101.325,0.595,24,13,2.7048,44.602,0.82639,101.325,8.05021,4.17276,24.00471,0.54167,55.398,326.689,360.044,0.775214,0.3,1784.7109,1850.1204
387.368,202.65,0.5286,10,4,3.2143,38.0,0.98233,202.65,5.91432,3.22422,6.85907,0.4,62.0,356.766,387.919,0.74328,0.17825823,3221.1142,3361.2207
374.737,202.65,0.6429,25,18,3.2143,62.0,0.79824,202.65,6.60125,3.89193,20.99265,0.72,38.0,350.321,380.908,0.802219,0.3,1965.2685,2041.5343
328.421,101.325,0.5286,15,4,2.9286,30.0,-0.00935,101.325,11.00492,3.14077,2.40257,0.26667,70.0,330.231,363.646,0.760985,1e-06,2393.9044,2534.5909
332.632,101.325,0.5857,10,4,2.0714,70.0,0.1637,101.325,10.40561,2.5745,13.1278,0.4,30.0,327.162,360.573,0.718486,0.3,804.7537,830.6443
